ncalls	tottime	percall	cumtime	percall	filename:lineno(function)
1	1e-06	1e-06	1e-06	1e-06	<method 'disable' of '_lsprof.Profiler' objects>
2	4e-06	2e-06	4e-06	2e-06	ichunks
3	2.2e-05	7.333333333333333e-06	7.2e-05	2.4e-05	err
107	0.000136	1.2710280373831775e-06	0.000243	2.2710280373831777e-06	tokenize
107	0.000459	4.289719626168225e-06	0.0006879999999999999	6.429906542056074e-06	get_skipgrams
1	1.4999999999999999e-05	1.4999999999999999e-05	0.001369	0.001369	run
1	1.3e-05	1.3e-05	0.001457	0.001457	main2
1	1.2e-05	1.2e-05	0.001354	0.001354	__init__
1	9e-06	9e-06	0.001341	0.001341	update
107	4.9999999999999996e-06	4.6728971962616815e-08	4.9999999999999996e-06	4.6728971962616815e-08	<method 'append' of 'list' objects>
107	2.9e-05	2.710280373831776e-07	2.9e-05	2.710280373831776e-07	<method 'insert' of 'list' objects>
1	0.0	0.0	0.0	0.0	<method 'items' of 'dict' objects>
14	4e-06	2.857142857142857e-07	4e-06	2.857142857142857e-07	<method 'add' of 'set' objects>
7	0.0	0.0	0.0	0.0	<method 'remove' of 'set' objects>
7	2e-06	2.857142857142857e-07	2e-06	2.857142857142857e-07	<method '__subclasses__' of 'type' objects>
107	5.1e-05	4.7663551401869157e-07	5.1e-05	4.7663551401869157e-07	<method 'split' of 'str' objects>
107	2.2e-05	2.0560747663551403e-07	2.2e-05	2.0560747663551403e-07	<method 'strip' of 'str' objects>
7	1e-06	1.4285714285714285e-07	1e-06	1.4285714285714285e-07	<built-in method builtins.getattr>
1	4e-06	4e-06	0.000192	0.000192	<built-in method builtins.isinstance>
8/2	8e-06	1e-06	0.000116	5.8e-05	<built-in method builtins.issubclass>
3	1e-06	3.333333333333333e-07	1e-06	3.333333333333333e-07	<built-in method builtins.len>
642	7.999999999999999e-05	1.246105919003115e-07	7.999999999999999e-05	1.246105919003115e-07	<built-in method builtins.next>
3	4.7e-05	1.5666666666666667e-05	4.7e-05	1.5666666666666667e-05	<built-in method builtins.print>
1	0.00020899999999999998	0.00020899999999999998	0.00114	0.00114	<built-in method _collections._count_elements>
107	0.000149	1.3925233644859812e-06	0.000149	1.3925233644859812e-06	<built-in method itertools.tee>
1	0.0	0.0	0.0	0.0	<built-in method from_iterable>
3	3e-06	1e-06	3e-06	1e-06	<method 'flush' of '_io.TextIOWrapper' objects>
7	1e-06	1.4285714285714285e-07	1e-06	1.4285714285714285e-07	__subclasshook__
1	4.9999999999999996e-06	4.9999999999999996e-06	0.0014629999999999999	0.0014629999999999999	bench_count_skipgrams_main
1	1.1e-05	1.1e-05	0.000188	0.000188	__instancecheck__
7/1	7.4e-05	1.057142857142857e-05	0.000173	0.000173	__subclasscheck__
7	7e-06	1e-06	7e-06	1e-06	__init__
7	1.3e-05	1.857142857142857e-06	1.4e-05	2e-06	__enter__
7	1.1e-05	1.5714285714285714e-06	1.4999999999999999e-05	2.1428571428571427e-06	__exit__
3	9e-06	3e-06	9e-06	3e-06	__init__
7	4e-06	5.714285714285714e-07	4e-06	5.714285714285714e-07	_commit_removals
9	2.2e-05	2.4444444444444442e-06	5.8e-05	6.4444444444444445e-06	__iter__
12	1.4999999999999999e-05	1.2499999999999999e-06	1.4999999999999999e-05	1.2499999999999999e-06	__contains__
7	6e-06	8.571428571428571e-07	9e-06	1.2857142857142858e-06	add
